text_clean,airline_sentiment,negativereason,airline,topic
another terrible experience united discrimination delay help customer service united notimpressed,negative,Customer Service Issue,United,-1
business decision made inconvenience possibly cause lost customer good business decision cranky,negative,Can't Tell,United,7
please provide update flight stranded united information crew plane,negative,Late Flight,United,-1
thanks reminding much easier fly southwest get agent sfo,negative,Can't Tell,United,46
thats still one day visa expiring june booked flight day,negative,Flight Booking Problems,United,-1
miaewr excellent crew ewriad crew load bag waiting door open freezing min past departure,negative,Flight Attendant Complaints,United,0
customer service crap,negative,Customer Service Issue,United,7
thanks ground crew surprised flight arrive beingsuckontarmacsucks,negative,Flight Attendant Complaints,United,-1
sitting tarmac ord visibly gate open reassign gate,negative,Cancelled Flight,United,2
sato rebooked upset travel office fix couldnt,negative,Customer Service Issue,United,31
kind unnerving watch guy deicing plane text phone whole time,negative,Can't Tell,United,-1
refreshes browser right checkouterror load message ticket price increased matter sec dounotwantmybusiness,negative,Flight Booking Problems,United,50
united voted every year one worst airline enjoy title give jedediah free pass,negative,Can't Tell,United,43
think board back plane whatstheholdup chitocle,negative,longlines,United,65
thanksseat made year old broken flightsyearmy last airline,negative,Bad Flight,United,-1
fair enough united everybody best although slight delay turning cancelled flightlation,negative,Cancelled Flight,United,42
still waiting bag never got delivered yesterday cant reach real person help sending ref number,negative,Lost Luggage,United,0
worst flight experience ive ever never ever fly airline,negative,Bad Flight,United,5
thru detail flight want recording repeat real person get line,negative,Customer Service Issue,United,-1
would person take hour hour wait time tell lie,negative,Customer Service Issue,United,-1
hey not working,negative,Customer Service Issue,United,-1
refund team far customer care courtesy need training work ethic like sir lying help,negative,Customer Service Issue,United,-1
splitting flight quadruple price,negative,Flight Booking Problems,United,76
contd told asking refund used ticket flight got cancelled flightled ticket used,negative,Customer Service Issue,United,1
several trial several hour waiting phone contact customer care get refund get cold shoulder,negative,Customer Service Issue,United,20
booked paid flight get denver specific time meeting failed wasnt caused weather,negative,Late Flight,United,82
dont understand isnt flight paid premium getting cancelled flighted best next available flight,negative,Cancelled Flight,United,-1
flight awful one lavatory functioning people lining bumping etc cant use class bathroom ridiculous,negative,Bad Flight,United,38
actually arent still parked,negative,Late Flight,United,2
apply one travel certificate per itinerary even multiple flight,negative,Flight Booking Problems,United,25
log view reservation try view specific reservation amp take back login page,negative,Flight Booking Problems,United,8
time flight delayed miss next flight time youve lost baggage clean clothes flight thx,negative,Lost Luggage,United,0
hell mile expire really looking forward accruing enough free flight year,negative,Flight Booking Problems,United,17
familiar procedure wouldnt first time unitedairlines lost one bag unhappytraveler,negative,Lost Luggage,United,0
get giving inaccuratemisleading info doesnt seem like great way hopethegearmakesitintact,negative,Can't Tell,United,-1
cleaning regional jet take hour,negative,Late Flight,United,-1
tried charge flight tried make change phone not including change fee wtf,negative,Customer Service Issue,United,50
flight rolling delay hour minute,negative,Late Flight,United,6
believe customer service last post narita tokyo sent motel rest said standby maybe day,negative,Late Flight,United,8
website complete joke using safari,negative,Customer Service Issue,United,63
new seat canadaair regional jet plain suck,negative,Bad Flight,United,4
airline abuse expensive video equipment overcharge privilege via,negative,Damaged Luggage,United,1
thats reply lol hoping least new plane maintained flight,negative,Late Flight,United,5
somebody say flight upgrade,negative,Can't Tell,United,-1
tripitpro accurate delayed dept time hour late flightr hear curious,negative,Late Flight,United,6
tell airline lost mine family business day age message twitter travel fast,negative,Can't Tell,United,-1
trying reach number last standbye gave meal voucher potential day standbye,negative,Customer Service Issue,United,8
disappointing customer service,negative,Customer Service Issue,United,7
boarded time deplaned minute delay transparency cant wait give gold status,negative,Late Flight,United,-1
wife sarah stocker also called could not connect customer service,negative,Customer Service Issue,United,-1
victim scam shit customer service time agent hung wtf teach staff,negative,Customer Service Issue,United,19
flight frustration boiled dealing attendant attitude ridiculous,negative,Flight Attendant Complaints,United,14
nice know hour time worth free directtv everyone ever hear preventative maintenance,negative,Late Flight,United,11
may true however week matter still unresolved not get supervisor manager help,negative,Customer Service Issue,United,-1
obviously one know darn thing around not get resolved,negative,Late Flight,United,-1
notification yet staff board say not accurate departure time,negative,Flight Attendant Complaints,United,-1
not know seat actually narrower seat feel like maybe extra bloated,negative,Bad Flight,United,4
sent lack customer service getting ridiculous,negative,Customer Service Issue,United,-1
delayed going home getting really tired delay,negative,Late Flight,United,-1
booked website price change,negative,Flight Booking Problems,United,50
rebooked getting home hour late flightr planned chance ill ever see bag unhappytraveler,negative,Cancelled Flight,United,0
united club team amp got seat late flightr still not sure last min ual cancelled flightlation cost yet overbooked folk get,negative,Flight Booking Problems,United,3
flight yyc providing free food allowed back board broken lightbulb,negative,Late Flight,United,9
not looking fare returned companion flight dont understand additional fee necessary,negative,Customer Service Issue,United,50
flight specific last two probably foot apart within sight,negative,Can't Tell,United,-1
without baggage day cant get update houston airport since monday worst service ever,negative,Lost Luggage,United,0
yes three different checker along walk plane overkill,negative,Can't Tell,United,-1
bummer might card instead response though,negative,Flight Booking Problems,United,-1
sure business else airline travel name kathryn sotelo,negative,Can't Tell,United,-1
made check carry flight pbi newark plane luggage stow not full costing time money amp aggravation,negative,Lost Luggage,United,0
way contact flight not work father pas heading denver,negative,Customer Service Issue,United,21
two flight today let hope kit not get treatment,negative,Can't Tell,United,-1
please help regarding pnr azzf waitlisted flight,negative,Customer Service Issue,United,6
hope solution insurance cover issue,negative,Can't Tell,United,10
customer service solution might miss show,negative,Customer Service Issue,United,7
deserves bankrupt delayed outbound flight info connecting flight going miss,negative,Late Flight,United,12
flt delayed maintenance thats fixed cant board flight crew didnt stay boarding area fail,negative,Late Flight,United,-1
not anymore finally ticketed min takeoff not sure confusion fullfare gsa ticket,negative,longlines,United,-1
yes still dont know ive told might flight one confirm,negative,Lost Luggage,United,-1
wind chill ithica degree trouble losing clothes give tshirt ill burn warmth united,negative,Lost Luggage,United,0
calling customer service delayed flight today luggage misplaced disaster across board,negative,Late Flight,United,0
crew notified passenger moved water not fixed tarmac two hour,negative,Late Flight,United,33
link not helpful not put touch management,negative,Customer Service Issue,United,64
delayed cmh ord ran gate min connection door closed one around ignored agent super rude thanksunited,negative,Customer Service Issue,United,2
guess kit kat look tasty not going near sandwich,negative,Can't Tell,United,9
worse headed laguardia delayed tray table size mouse pad overhead size pocket,negative,Late Flight,United,0
iah ewr broken entertainment system wifi despite info app,negative,Bad Flight,United,11
customer service terrible,negative,Customer Service Issue,United,7
please send help asap flight chicago seat airline,negative,Can't Tell,United,-1
define appreciate doubt worst major airline usa act much feedback,negative,Customer Service Issue,United,-1
yea refund airline ruined trip,negative,Can't Tell,United,1
thats wonderful unfortunately doesnt help flight major city disappointed,negative,Customer Service Issue,United,-1
thanks delaying flight hour missing connecting flight terrible customer service neveragain vacation,negative,Late Flight,United,1
got rebooked one question though automatically refund check baggage fee flight cancelled flightled,negative,Cancelled Flight,United,1
good team nothing short amazing everything,negative,Customer Service Issue,United,-1
new flight window kind ticked pick aisle seat hate window seat annoyed epicfail,negative,Bad Flight,United,4
nope rebook houston could get amarillo stuck sfo four hour,negative,Late Flight,United,-1
money sucking airline terrible terrible customer service,negative,Customer Service Issue,United,1
aware airbus fleet suck rather fly full rubber dog shit,negative,Customer Service Issue,United,5
fyi staff telling customer try carrier,negative,Customer Service Issue,United,-1
couldnt possibly messed trip anymore thanks terrible airline disappointed,negative,Can't Tell,United,5
wifi chicago thats tech intro video joke epicfail,negative,Bad Flight,United,11
thanks reply box not mine not missing one added bag,negative,Lost Luggage,United,0
wifi flight ord really wow,negative,Bad Flight,United,11
haha clean plane held overnight hangar sound lovely also dont lie screensand say weather,negative,Cancelled Flight,United,-1
charge delay united still waiting,negative,Late Flight,United,42
made feel guilty economy plus didnt pay extra leg room,negative,Flight Attendant Complaints,United,-1
cancelled flightled newflight upset one cancelled flight could rented car would honest,negative,Cancelled Flight,United,1
stuck ord united cant find airplane lol upset terminal right,negative,Late Flight,United,42
wth honest customer better last change driving home plane left not,negative,Flight Attendant Complaints,United,1
time row ive charged plane ticket united shouldnt check everytime,negative,Flight Booking Problems,United,59
flight really going leave newark today not tell rent car not want end stranded,negative,Late Flight,United,-1
thanks reply saw not particularly helpful hungry vegetarian not flying specific flight shrug,negative,Can't Tell,United,-1
funny boarding pas said priority clearly not priority airline,negative,Customer Service Issue,United,60
sure offer nothing inconvenience put twice month tweet dont cut,negative,Customer Service Issue,United,18
youll cancelled flight flight like,negative,Late Flight,United,1
screwing twice one month learned lesson,negative,Can't Tell,United,-1
whats point offering free checked bag lose,negative,Lost Luggage,United,0
flight vega houston cancelled flighted morning due operation mean thank god woke early today,negative,Cancelled Flight,United,1
education staff needed also turned away first class cabin passenger mileage plus,negative,Flight Attendant Complaints,United,-1
item not mine mysteriously ended checked bag ewr yow flight missing black box,negative,Lost Luggage,United,0
guessflight going cancelled flightled empty seat confirmed not important frustrated,negative,Cancelled Flight,United,1
instead making seat smallerthinner jam people flightu concentrate maint amp happy customer,negative,Customer Service Issue,United,-1
need assistance pulling agent head ass,negative,Customer Service Issue,United,19
gate definitely not full parked wheel chocked customer service called unmet arrival,negative,Late Flight,United,2
really hard time believing plane terminal delayed mechanical issue whatgives dullessucks,negative,Late Flight,United,6
flight almost half hour tarmac waiting paper not miss connection iah,negative,Late Flight,United,-1
worst airline ever thanks slew rude agent staff making delayed flight even worse,negative,Flight Attendant Complaints,United,14
chance hell rather walk worst airline ever,negative,Can't Tell,United,5
worst major airline proof theyre boarding plane outside galley door open degree weather wtf,negative,Customer Service Issue,United,-1
late flight damage done easily worst airline experience life missed two connecting flight amp day work,negative,Bad Flight,United,3
dont know aware premier access line closed terminal feel love,negative,longlines,United,-1
disappointed learn charging use mile upgrade jfk flight looking alternative,negative,Flight Booking Problems,United,15
unacceptable practice leave cancelled flighted flight passenger sleep cement pillow,negative,Cancelled Flight,United,32
get crew member waiting told minute ago landed still not gate,negative,Flight Attendant Complaints,United,2
flight massive fail delaying transport crew member causing many miss connection unreal,negative,Late Flight,United,12
worst customer experience houston intl airport ground support even member nightmare,negative,Customer Service Issue,United,1
help delayed flight going miss connection,negative,Late Flight,United,12
counting please dont let delayed needtocatchmynextflight alreadyrebookedonce,negative,Late Flight,United,-1
impossible actually get passenger luggage final destination,negative,Lost Luggage,United,0
flightdelay early craft arrival pilot stuck traffic fail nocustomerservice nocompensation,negative,Late Flight,United,-1
united much despise thee,negative,Can't Tell,United,51
airline biggest joke operation world,negative,Customer Service Issue,United,-1
going baggage claim newarktiredandwanttogohome,negative,Lost Luggage,United,0
usually lounge staff fantastic except today mco almost denied entry lounge even though traveling unitedfirst,negative,Flight Attendant Complaints,United,-1
hour delay misplaced bag poor communication worse unsympathetic confrontational gate agent not cool,negative,Late Flight,United,2
dont respond email facebook msg still wating ticket getting really angry disappointed,negative,Customer Service Issue,United,-1
send jeff smisek trip jetblue make sure take note would never choose fly united,negative,Can't Tell,United,44
disappointed service level staff communication bummer,negative,Flight Attendant Complaints,United,-1
thanks great news wont refund ticket due bad exchange rate knew would come sens,negative,Customer Service Issue,United,20
going rectify please direct complaint department stickingtodelta,negative,Late Flight,United,10
top flight attendant talked loudly throug flight even light dimmed resulting sleep,negative,Flight Attendant Complaints,United,14
seems like one united help lot finger pointed zero people stepping least gate oreo,negative,Customer Service Issue,United,51
access dial make faster,negative,Customer Service Issue,United,-1
delay start huge queue security representative meet rude staff baggage reclaim inefficient,negative,Late Flight,United,0
worst flight attendant like angry drunk aunt everything argument,negative,Flight Attendant Complaints,United,14
black white law cancelled flightled flight want money,negative,Cancelled Flight,United,1
accordingly dont respond,negative,Customer Service Issue,United,35
extra care airline unitedairlines dont care trust customerservice non existent dont,negative,Customer Service Issue,United,-1
another unfortunate case bad luck usually maintenance issue swapping plane ont get late flight,negative,Late Flight,United,6
shame great customer service wasnt continued sfo slightly absurd,negative,Customer Service Issue,United,-1
onlyinamerica day not word unitedairlines customerservices bad guy,negative,Customer Service Issue,United,-1
still awaiting reply customer service day response lousy unitedairlines,negative,Customer Service Issue,United,-1
happened airline theyve given flight voucher transparent problem,negative,Late Flight,United,-1
thanks booked spent extra hr ten explanation flying middle seat char instead memphis,negative,Customer Service Issue,United,4
agent rick clifton seahou told father dying needed get handbag cabin nothing shameful,negative,Lost Luggage,United,0
watched crew escorted back class prebooked really dissatisfaction und,negative,Can't Tell,United,-1
plenty empty seat coach dissatisfaction understood crew member traveling duty prebooked,negative,Flight Booking Problems,United,-1
good didnt die anything say get pay,negative,Can't Tell,United,-1
staff laguardia lagos nigeria unprofessional uncaring not helpful,negative,Flight Attendant Complaints,United,39
kept passenger waiting night plane put service leaving everyone stranded night inexcusable,negative,Late Flight,United,36
flt lax ewr pilot bragged getting ewr early wait min jetway driver thanks united,negative,Bad Flight,United,-1
happy found phone easily worst system ever heard,negative,Customer Service Issue,United,40
really hour dont like delay avoid well way asap,negative,Late Flight,United,22
waited hour airport told one fib cant ual honest customer,negative,Customer Service Issue,United,1
well yet checked bag already vanished havent left airport yet,negative,Lost Luggage,United,0
rapid trip plane ticket idaho california doesnt problem would wonderful,negative,Can't Tell,United,-1
delayed hour one hour flight frustrating also unable get decent meal hournever,negative,Late Flight,United,9
think status nothing think bug search system,negative,Can't Tell,United,77
would appreciate answer werent alerted flight cancelled flighted plane landed showsomerespect,negative,Cancelled Flight,United,1
wtf delay delay hour yvr san unacceptable flight crew availability blame never,negative,Late Flight,United,-1
hey left computer bag wcomputer inside united filed online report response,negative,Customer Service Issue,United,0
empty upon takeoff cant someone sit,negative,Bad Flight,United,4
case requested day ill get response,negative,Customer Service Issue,United,10
thanks formed submitted not betting someone would honest enough turn though,negative,Lost Luggage,United,-1
difference booked flight want screen shot,negative,Flight Booking Problems,United,-1
rebooked hour original flight say handling situation bad would understatement,negative,Customer Service Issue,United,-1
would like supervisor talk waiting flight attendant one walked amp left,negative,Flight Attendant Complaints,United,3
understanding situation waited opened,negative,Customer Service Issue,United,-1
curious going finally learn customerservice,negative,Customer Service Issue,United,7
nice see sense humor hourdelay want home ill settle beer safely air course,negative,Late Flight,United,-1
service desk gate helped find flight get dest time flight got cancelled flightled,negative,Cancelled Flight,United,2
thanks not answer question want make reservation phone perth hold hr family,negative,Customer Service Issue,United,8
wasnt delay much straight cancelled flightlation weather wasnt issue either,negative,Cancelled Flight,United,45
thanks ruining wedding anniversary flight ewr rdu delayed hour reach home nxt day,negative,Late Flight,United,-1
cancelled flightled flight unknown reason havent really given anything make overnight layover tolerable,negative,Cancelled Flight,United,1
difference responsible position something learn,negative,Late Flight,United,-1
yes flight rebooked losing trust want get anywhere time,negative,Cancelled Flight,United,-1
evry flight take delayed amp evry time missed evry time lastflightofthenight breakup,negative,Late Flight,United,3
not submit complaint line never heard back dont find,negative,Customer Service Issue,United,10
cool customer told didnt care either expected,negative,Flight Attendant Complaints,United,-1
freaking worthless hate airline,negative,Can't Tell,United,5
not leave ord time week shameful,negative,Late Flight,United,-1
missed daughter suppose dpt ord dpted checked week average shameful day average,negative,Late Flight,United,-1
fantastic night waiting hour delayed airplane alert flight cancelled flighted land whatstatus,negative,Cancelled Flight,United,-1
delta flight lax compensated rental car,negative,Late Flight,United,74
missed set hotel flight delayed sfo hour missing wedding festivity friend,negative,Late Flight,United,-1
board customer onto plane pilot thing expedited time line book new flight come,negative,Customer Service Issue,United,-1
stuck tarmac last hour beer,negative,Late Flight,United,33
recent service bad trip aweful disappointed never,negative,Customer Service Issue,United,1
freezing gate bridgewaitingforbagsunitedewr,negative,longlines,United,2
landed standing waiting bag loaded plane sidewhy isnt crew heretiredcustomer,negative,Late Flight,United,0
need plane get buffalo leave tonight progress,negative,Late Flight,United,21
rebooked however would nice not wait extra min airport make right,negative,Late Flight,United,31
enough already poor service old plane ridiculous routing time find new airline status match,negative,Customer Service Issue,United,-1
waiting hour finally board airplane find call maintenance plane cold,negative,Late Flight,United,-1
broke suitcase amp refuse give repair estimate,negative,Damaged Luggage,United,0
scheduled flight crew competent person working airline,negative,Flight Attendant Complaints,United,36
help chicago get gate freezing runway seems like crappy thing,negative,Late Flight,United,2
thanks whats going tonight bad update online phone cant give customer good info not waste time,negative,Customer Service Issue,United,-1
knew flight delayed mht alb ewr get crew arrival late flightr departure update site,negative,Late Flight,United,-1
wtf cant update time timely manner youve known fight delayed service awful,negative,Customer Service Issue,United,22
waiting plane long missed connecting flight left early thats last flight tonight help,negative,Late Flight,United,12
ord gate flt remember customer valuable hard nice someone lugging guitar amp carryons,negative,Flight Attendant Complaints,United,3
worst service ever denied access flight moved flight time hard schedule gate next time,negative,Customer Service Issue,United,2
denver bag san jose see something wrong,negative,Lost Luggage,United,0
know bad youre praying connecting flight delayed hour delay first flight justgetmehome,negative,Late Flight,United,6
playing hide seek gate cant find minute,negative,Can't Tell,United,2
flight ord delayed air force one last flight sbn min landed,negative,Late Flight,United,-1
hr late flightr still cant figure random text update embarrassing,negative,Customer Service Issue,United,-1
stop picking cle,negative,Late Flight,United,-1
booked flight sept get best price april usa checked cheaper con unhappy customer ripoff,negative,Flight Booking Problems,United,76
big properly manage flight time thing time least prepared gate land,negative,Late Flight,United,2
rather truth flight forced sit day trying get home,negative,Late Flight,United,-1
another delayed day delayed outbound delayed inbound waiting ewr gate ready not ready,negative,Late Flight,United,2
cancelled flighted mileage plus award reservation day yet see mile back despite agent confirmation,negative,Flight Booking Problems,United,-1
gate change minute flight roanoke flight sou fall ohare painful,negative,Bad Flight,United,2
nut said flight ground still albany wont plane someone compensating,negative,Late Flight,United,-1
doumented via link however four month response suggest shall not expect one,negative,Customer Service Issue,United,10
yall zero concept customer service ohand connection delayed,negative,Customer Service Issue,United,-1
curious youd board flight without pilot seems crucial flight process,negative,Flight Attendant Complaints,United,-1
changed crazy youragentshavenoclue,negative,Late Flight,United,-1
never get flight time hour delay earlier another hour delay connecting flight make straight delay,negative,Late Flight,United,-1
delay oversold passenger mess going compensate,negative,Late Flight,United,36
blamed weather lol wind not cloud sky delayed way kidding charge delay,negative,Late Flight,United,45
worseoh cant delayed reason way lonflight cancelled flighted reason less day returning,negative,Late Flight,United,-1
flight gate change top really hoping compensate pointsmileage account,negative,Can't Tell,United,2
contact others flight cant get website work none info valid,negative,Flight Booking Problems,United,25
hour stuck still not plane total failure partner ensuring best customer experience,negative,Late Flight,United,-1
thanks delay ground crew landed least didnt break,negative,Late Flight,United,-1
illiterate magic code make customer service site work,negative,Customer Service Issue,United,7
worst airline ever staff nasty wifi bag delayed due weather belt broken selling ual stock,negative,Bad Flight,United,0
confused agent directed website delay nothing work,negative,Customer Service Issue,United,19
minute waitstill gate broken jetway might miss connection,negative,Late Flight,United,2
see information boarding process get group amp reason,negative,Can't Tell,United,3
lost wallet flight yesterday houston bogota filled online form response yet,negative,Customer Service Issue,United,0
one hour departure time still update,negative,Late Flight,United,-1
following see not one experiencing noticing substantial downgrade service post merger,negative,Customer Service Issue,United,47
minute waiting gate broken jetway different gate maybe,negative,longlines,United,2
never got flight austin houston time connection ever ever,negative,Late Flight,United,21
sitting tarmac half hour landing jetway broken daysofunitedfailures thingafteranother,negative,Late Flight,United,33
look twitter history usual service non existent,negative,Customer Service Issue,United,18
make sure make cancelled flighted flight baggage upgrade fee seem like labyrinth might able swindle,negative,Cancelled Flight,United,0
considered time arriving destination half hour late flightr scheduled,negative,Late Flight,United,-1
thanks trying take money without notice industry cancelled flight service refund issued cont,negative,Customer Service Issue,United,1
direct phone number status match desk really regret flight booking problem,negative,Customer Service Issue,United,8
yet disappoint sitting iad hr cant seem know plane hasnt left albany fail,negative,Late Flight,United,-1
still sitting waiting plane hour wasted,negative,longlines,United,-1
line getting longer moving slower lady working counter great need help customerservicefail,negative,longlines,United,-1
update flight would great,negative,Late Flight,United,-1
wasting time baggage claim thanks dfw ground crew checked bag without actually checking space frustrated,negative,Flight Attendant Complaints,United,0
problem flight today,negative,Bad Flight,United,-1
flight heavy fly back palm spring air min,negative,Can't Tell,United,5
boarding process suck learn,negative,longlines,United,60
ouch delay due mechanical issue qro wait yall seem falling apart alwaysdelayed unitedfail,negative,Late Flight,United,42
finger crossed capable getting baggage point agtb united airline,negative,Lost Luggage,United,0
happened afternoon huge amt incoming plane sfo delayed hour frustrating,negative,Late Flight,United,-1
not way impatience partits untruthful not proper system place,negative,longlines,United,-1
maybe person working customer service desk houston airport line row deep person working,negative,Customer Service Issue,United,-1
survey long fly lot segment ill fill every trip not take minute,negative,Can't Tell,United,-1
think hiring baggage attendant ewr waiting bag united overchargedampunderserved,negative,Lost Luggage,United,0
telling cancelled flighting flight,negative,Cancelled Flight,United,1
would hard worse last time sure youll give shot,negative,Bad Flight,United,-1
service staff less friendly,negative,Customer Service Issue,United,-1
comedian promise make fun stage tonight,negative,Late Flight,United,-1
tried got whole character not even done,negative,Can't Tell,United,-1
reboard without captain well sitting another min,negative,Late Flight,United,60
flight houston delayed duecto engine trouble willl hold connection argentina houston since late flight,negative,Late Flight,United,12
delayed flight slc hour give snowforce,negative,Late Flight,United,-1
airline joke person working special service ewr line ppl deep grow,negative,longlines,United,-1
concerned close club paid alot last flight construction going inconvenient,negative,Flight Attendant Complaints,United,-1
care less person although walked away complaining man lax club,negative,Customer Service Issue,United,-1
worst airline world delay gate agent loses mind lb charge top already paid,negative,Late Flight,United,2
wed prefer everyone hear complaint amount airline,negative,Customer Service Issue,United,1
worst airline ever leg travel officially done time not vocab taking premier status,negative,Late Flight,United,-1
want contact someone question amp not put hold minute order hung sent pet line,negative,Customer Service Issue,United,3
keep delaying flight horrible customer service,negative,Customer Service Issue,United,1
really think downgrading boozefood selection club good way look,negative,Flight Attendant Complaints,United,9
guy atrocious far better service silver delta platinum ill switching back delta,negative,Customer Service Issue,United,74
denied called got hung speaks manager second call,negative,Customer Service Issue,United,16
club den east west disgusting,negative,Can't Tell,United,43
installed working not kicked hour wouldnt let back four wasted hour,negative,Customer Service Issue,United,-1
thats tried entering email device made email typo way fix amp option log outin,negative,Customer Service Issue,United,72
hr told guess theyve apparently bag hr call,negative,Customer Service Issue,United,0
still waiting bag web still cant tell location come tell given minute,negative,Lost Luggage,United,0
seriously waiting hour plane flight leave leave plane great great,negative,Bad Flight,United,-1
like hearing havent replied tweet andor email yet,negative,Customer Service Issue,United,18
rude grouchy agent dulles checkin got hour trip lousy start need nap something,negative,Flight Attendant Complaints,United,-1
use special people group one not board global together,negative,longlines,United,-1
thats didnt read entire tweet wife flight delayed thats hour flight delay week,negative,Late Flight,United,-1
help customer couldnt meet subsequently lost,negative,Customer Service Issue,United,-1
problem laptop not phone,negative,Customer Service Issue,United,-1
question given food voucher cant use planehow come,negative,Can't Tell,United,9
wifi ewr lounge reminds old day dial,negative,Can't Tell,United,11
need pay car could flight help desk not say already left shame,negative,Customer Service Issue,United,67
bossf waiver business cancelled flighted due weather beforeafter flexibilitycompassion extreme circumstance,negative,Customer Service Issue,United,-1
tried already amp tried forgetting wifi network connection still force log incorrect email suggestion,negative,Bad Flight,United,-1
see tweeting little min ago ignoring request cantlogoutofunitedwifi,negative,Customer Service Issue,United,18
anyone awake paying wifi iphone need using laptop logout option wifi flight time wasting,negative,Bad Flight,United,11
work customer support extremely saddened united wont waive change fee flight cancelled flight due east coast storm,negative,Customer Service Issue,United,-1
hows refund coming along,negative,Customer Service Issue,United,20
another fcking delay past hour,negative,Late Flight,United,22
sfo hnl zero entertainment systemsyouareonyourown,negative,Can't Tell,United,-1
log wifi flight dont see option made typo logging help,negative,Bad Flight,United,11
flight sfo burbank delayed twice still plane sight get together,negative,Late Flight,United,-1
saying truth dont even email,negative,Customer Service Issue,United,10
shes way thought detail extravaganza dobetter please,negative,Late Flight,United,-1
followed baggage rule website still charge going one way,negative,Customer Service Issue,United,0
sent hour ago,negative,Customer Service Issue,United,-1
need track lost luggage shipped need human not automated,negative,Lost Luggage,United,0
weighed checked bag,negative,Can't Tell,United,0
nonrefundable hence wrote doesnt make sense credit nothanks,negative,Can't Tell,United,66
website day yesterday tried put info inampdidnt thru today flight bought went,negative,Flight Booking Problems,United,25
realize wife waiting delayed flight moment not sure understand tweet,negative,Late Flight,United,-1
minor freaking might not make connecting flight hawaii yes frustrated,negative,Can't Tell,United,12
denied not sure charge one way way hime,negative,Can't Tell,United,-1
even change could not made online instructed call agent maybe syastem allow agent link passenger,negative,Customer Service Issue,United,30
airbus seat awful dont recline,negative,Bad Flight,United,4
follow not plus theyre option thats fly epicfail,negative,Can't Tell,United,18
sitting plane hour scheduled takeoff without cloud sky keepusguessing isthisyourfirsttry,negative,Late Flight,United,80
airplane otherwise would call police flight take ham,negative,Late Flight,United,5
huh sent crash report feb alone one day app consistently crash,negative,Can't Tell,United,57
abused threatened forced travel lower cabine last seat yesterday flight houston sao paulo,negative,Flight Attendant Complaints,United,4
contacted yesterday told there nothing suggested email compensation cust service,negative,Customer Service Issue,United,10
unfortunately doesnt help automated computer,negative,Customer Service Issue,United,-1
airline delayed flight way chicago leaving chicago next time,negative,Late Flight,United,21
inquire nothing itpretend theyre interested responded response back,negative,Customer Service Issue,United,-1
must stop relationship youve become greedy heartless long term relationship,negative,Can't Tell,United,-1
customer service lacking owe camera also appreciate not interrupted every time speak thanks,negative,Customer Service Issue,United,7
get refund would like book better airline,negative,Can't Tell,United,1
call discus told united phone contact passenger absurd,negative,Customer Service Issue,United,-1
messaged requested called baggage team still newark please help let know next step,negative,Lost Luggage,United,0
guess thats not busiest route based trafficfuel cost regional jet decision still not great traveler,negative,Customer Service Issue,United,5
flight delayed minute ord plane didnt food fixed future dumb delay,negative,Late Flight,United,9
need chat actual human asap,negative,Customer Service Issue,United,-1
got email saying change mileageplus account confirmed didnt make change help,negative,Can't Tell,United,17
disappointed service missing connection hour delay cramped seat least app good,negative,Late Flight,United,-1
joke hang customer,negative,Customer Service Issue,United,-1
charged one way baggagefind others leaving pittsburgh equipment werent charged hung,negative,Customer Service Issue,United,0
publicly asked detail flt sent like asked yet day hear unitedfail,negative,Customer Service Issue,United,-1
really hoping get help attempt get resolution lost count transfer help please mileageplus,negative,Can't Tell,United,-1
sent file reference number want know someone located bag even not yet,negative,Lost Luggage,United,0
help cant take without missing galley cart one find pax seated last hour,negative,Late Flight,United,-1
doesnt make sense ive year youre making harder keep loyal,negative,Can't Tell,United,-1
premier desk able rebook friend problem pay checked bag,negative,Cancelled Flight,United,0
thought nothing happened,negative,Lost Luggage,United,-1
flt ord correct per flight ord cvg charged incorrectly,negative,Customer Service Issue,United,-1
need change way customer service handled waiting supervisor contact day give,negative,Customer Service Issue,United,-1
need talk actual person missing luggage please advise make happen,negative,Lost Luggage,United,0
know see estimated time dep dont understand wasnt better estimate hr ago,negative,Late Flight,United,-1
trick making look popular twitter worst airline wellplayed jokesonus,negative,Can't Tell,United,-1
request refund charge twice first place,negative,Customer Service Issue,United,20
ill calling soon going tomorrow like show app not good option,negative,Customer Service Issue,United,-1
ive filled form twice email lost item code verify received,negative,Customer Service Issue,United,72
thats told refund doesnt really makeup inconvenience caused missed meeting,negative,Can't Tell,United,20
please explain need pay bag fee twice equally delayed flight resulted bag rechecked overnight,negative,Late Flight,United,0
watched entire uncvsduke game tarmac cancelled flighting flight crew timed right flight,negative,Cancelled Flight,United,33
vacation day relevant ritz night losing day idiot sleeping newark ramada priceless,negative,Cancelled Flight,United,75
time spent night trying sleep toddler bed airport ramada without luggage kidnapped furious,negative,Lost Luggage,United,0
calling check future flight first agent hung sent pet travel line hell,negative,Customer Service Issue,United,-1
fyi siteapp still show plenty unavailable flight error almost hr sellout flying,negative,Flight Booking Problems,United,-1
sure youve saying long ive tweeting obsolete fleet promise free,negative,Can't Tell,United,53
please consider letting flyer overhead bin item boarddeplane first first class make sense,negative,Bad Flight,United,-1
never flying unitedairlines ever checked bag lb angrycustomer unitedairlinessuck,negative,Can't Tell,United,0
flight turned around mechanical reason never fly united dont check plane properly,negative,Bad Flight,United,42
